0.000000	-0.000000 -0.000000 -0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 -0.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 -0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 -0.000000 0.000000 -0.000000 0.000000 0.000000 -0.000000 0.000000 -0.000000 0.000000 -0.000000 
-0.100000	-0.020898 -0.020996 -0.019922 -0.021387 -0.019629 -0.025195 -0.019629 -0.018750 -0.019336 -0.019336 -0.017969 -0.023145 -0.021582 -0.023047 -0.019824 -0.020215 -0.019531 -0.022949 -0.016309 -0.021387 -0.020313 -0.024512 -0.017871 -0.019531 -0.018945 -0.017090 -0.016797 -0.019043 -0.020801 -0.018262 -0.018750 -0.018848 -0.022363 -0.019336 -0.021387 -0.023535 -0.022852 -0.019727 -0.022949 -0.018457 -0.017188 -0.019531 -0.018750 -0.021289 -0.021289 -0.019824 -0.021777 -0.022949 -0.020605 -0.021484 
-0.200000	-0.083594 -0.078125 -0.075781 -0.072461 -0.072266 -0.078516 -0.074023 -0.080273 -0.100586 -0.080078 -0.079688 -0.087500 -0.086133 -0.080469 -0.089063 -0.084570 -0.090430 -0.090039 -0.082813 -0.079883 -0.093359 -0.085938 -0.084961 -0.083594 -0.083789 -0.094922 -0.093359 -0.075781 -0.102539 -0.089063 -0.085352 -0.091992 -0.083203 -0.076758 -0.086719 -0.087695 -0.087500 -0.096680 -0.085938 -0.095898 -0.089844 -0.066797 -0.079688 -0.090039 -0.084180 -0.089844 -0.089063 -0.082422 -0.088672 -0.094141 
-0.300000	-0.201855 -0.218848 -0.230566 -0.217090 -0.215918 -0.214746 -0.210645 -0.204785 -0.200977 -0.211523 -0.229980 -0.217383 -0.252539 -0.192188 -0.209180 -0.191309 -0.219141 -0.222363 -0.202441 -0.213281 -0.197754 -0.203320 -0.208301 -0.210059 -0.208887 -0.217969 -0.220020 -0.202734 -0.199805 -0.198047 -0.219434 -0.188379 -0.195117 -0.197168 -0.195996 -0.218848 -0.223828 -0.213867 -0.204199 -0.206543 -0.210059 -0.207129 -0.214453 -0.213281 -0.211230 -0.211523 -0.193359 -0.252832 -0.204199 -0.191602 
-0.400000	-0.431250 -0.442969 -0.453906 -0.437109 -0.454297 -0.465625 -0.487500 -0.439453 -0.473047 -0.392578 -0.422656 -0.456250 -0.467969 -0.399609 -0.510156 -0.464453 -0.451172 -0.446875 -0.441016 -0.402344 -0.441797 -0.400000 -0.484766 -0.406250 -0.488672 -0.439844 -0.435547 -0.483984 -0.360938 -0.439844 -0.429688 -0.448438 -0.428516 -0.440625 -0.397656 -0.441016 -0.428516 -0.488281 -0.451172 -0.403125 -0.440625 -0.442578 -0.437109 -0.459766 -0.467188 -0.495313 -0.419531 -0.419531 -0.397656 -0.450000 
-0.500000	-0.883789 -0.843750 -0.892578 -0.847656 -0.909668 -0.873535 -0.882813 -0.884766 -0.852051 -0.878418 -0.889160 -0.836426 -0.933594 -0.839355 -0.824707 -0.885254 -0.828613 -0.843262 -0.919434 -0.890625 -0.856934 -0.840820 -0.816406 -0.894043 -0.877930 -0.870117 -0.875488 -0.850586 -0.884277 -0.867676 -0.885254 -0.863770 -0.901367 -0.864258 -0.839844 -0.922852 -0.814941 -0.865723 -0.825195 -0.859375 -0.897949 -0.894531 -0.898926 -0.876465 -0.877930 -0.837891 -0.833984 -0.830566 -0.845215 -0.888184 
-0.600000	-1.163672 -1.161914 -1.146094 -1.123242 -1.161328 -1.166602 -1.167188 -1.136133 -1.160156 -1.151367 -1.131445 -1.141406 -1.136719 -1.161328 -1.145508 -1.143750 -1.119727 -1.160156 -1.127930 -1.144336 -1.149023 -1.146680 -1.159570 -1.142578 -1.137305 -1.149023 -1.144336 -1.140820 -1.156055 -1.127930 -1.152539 -1.146680 -1.127344 -1.179492 -1.143164 -1.139062 -1.132617 -1.141992 -1.146094 -1.140234 -1.156641 -1.168359 -1.139648 -1.127344 -1.127344 -1.144922 -1.149609 -1.131445 -1.147852 -1.158984 
-0.700000	-1.390430 -1.370605 -1.389062 -1.345996 -1.375391 -1.381543 -1.386328 -1.371973 -1.363086 -1.351465 -1.380859 -1.365820 -1.364453 -1.370605 -1.367188 -1.365820 -1.382910 -1.371289 -1.376758 -1.377441 -1.365820 -1.379492 -1.363770 -1.358984 -1.387695 -1.385645 -1.382910 -1.373340 -1.376758 -1.356250 -1.363770 -1.372656 -1.360352 -1.374707 -1.360352 -1.375391 -1.362402 -1.373340 -1.369238 -1.394531 -1.369922 -1.387012 -1.389746 -1.375391 -1.385645 -1.378125 -1.376758 -1.391113 -1.391797 -1.370605 
-0.800000	-1.592187 -1.573437 -1.578125 -1.590625 -1.592187 -1.599219 -1.584375 -1.589062 -1.596094 -1.598438 -1.584375 -1.595312 -1.590625 -1.589062 -1.585937 -1.585937 -1.595312 -1.593750 -1.581250 -1.589062 -1.599219 -1.583594 -1.592187 -1.589062 -1.575000 -1.567188 -1.584375 -1.591406 -1.596875 -1.587500 -1.587500 -1.593750 -1.583594 -1.590625 -1.590625 -1.592187 -1.592187 -1.596875 -1.595312 -1.589062 -1.585937 -1.582813 -1.600000 -1.585937 -1.599219 -1.583594 -1.579687 -1.572656 -1.593750 -1.575781 
-0.900000	-1.800000 -1.794727 -1.769238 -1.800000 -1.795605 -1.789453 -1.787695 -1.794727 -1.800000 -1.794727 -1.792969 -1.785937 -1.775391 -1.800000 -1.794727 -1.787695 -1.793848 -1.791211 -1.794727 -1.800000 -1.800000 -1.798242 -1.800000 -1.800000 -1.789453 -1.789453 -1.799121 -1.791211 -1.800000 -1.784180 -1.789453 -1.789453 -1.800000 -1.800000 -1.792969 -1.789453 -1.789453 -1.794727 -1.794727 -1.800000 -1.791211 -1.784180 -1.795605 -1.798242 -1.796484 -1.794727 -1.794727 -1.800000 -1.800000 -1.794727 
-1.000000	-1.988281 -1.998047 -1.998047 -1.988281 -1.994141 -2.000000 -1.992187 -1.994141 -2.000000 -1.991211 -1.998047 -1.990234 -2.000000 -2.000000 -1.998047 -1.992187 -2.000000 -1.998047 -1.994141 -2.000000 -2.000000 -2.000000 -2.000000 -2.000000 -2.000000 -1.998047 -1.998047 -1.994141 -2.000000 -2.000000 -1.996094 -2.000000 -2.000000 -2.000000 -2.000000 -2.000000 -2.000000 -2.000000 -2.000000 -1.994141 -2.000000 -1.998047 -1.994141 -2.000000 -1.998047 -1.994141 -1.989258 -1.998047 -2.000000 -1.999023 
-1.100000	-2.200000 -2.200000 -2.197852 -2.197852 -2.194629 -2.197852 -2.200000 -2.200000 -2.200000 -2.193555 -2.200000 -2.200000 -2.200000 -2.200000 -2.197852 -2.197852 -2.193555 -2.200000 -2.200000 -2.197852 -2.197852 -2.200000 -2.200000 -2.200000 -2.200000 -2.187109 -2.200000 -2.200000 -2.189258 -2.197852 -2.197852 -2.200000 -2.200000 -2.193555 -2.200000 -2.200000 -2.200000 -2.197852 -2.200000 -2.200000 -2.200000 -2.197852 -2.197852 -2.200000 -2.200000 -2.197852 -2.200000 -2.200000 -2.200000 -2.193555 
-1.200000	-2.400000 -2.397656 -2.392969 -2.400000 -2.397656 -2.400000 -2.392969 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.397656 -2.392969 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.392969 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.392969 -2.400000 -2.400000 -2.400000 -2.400000 -2.397656 -2.400000 -2.400000 -2.397656 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.400000 -2.385937 -2.400000 -2.400000 -2.400000 
-1.300000	-2.592383 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.584766 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.592383 -2.600000 -2.600000 -2.600000 -2.600000 -2.597461 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 -2.600000 
-1.400000	-2.800000 -2.800000 -2.800000 -2.793164 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.797266 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.791797 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 -2.800000 
-1.500000	-3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -2.994141 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 -3.000000 
-1.600000	-3.196875 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.190625 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.200000 -3.190625 
